source,kind,spacing,width,height,erasers,pdf,median_us,p95_us,target_or_pdf_bytes
Tile,IsometricDots,8,3840,2160,200,true,978665,1000595,7478069
Solid,IsometricDots,40,3840,2160,0,false,5303,5343,33177600
Tile,IsometricDots,40,3840,2160,0,false,11401,11435,33177600
Solid,IsometricDots,40,3840,2160,0,true,112,132,1542
Tile,IsometricDots,40,3840,2160,0,true,181,191,2682
Solid,IsometricDots,40,3840,2160,20,false,5813,5929,33177600
Tile,IsometricDots,40,3840,2160,20,false,12884,12937,33177600
Solid,IsometricDots,40,3840,2160,20,true,56009,67806,149953
Tile,IsometricDots,40,3840,2160,20,true,67464,74172,186626
Solid,IsometricDots,40,3840,2160,200,false,11685,11798,33177600
Tile,IsometricDots,40,3840,2160,200,false,27179,27269,33177600
Solid,IsometricDots,40,3840,2160,200,true,610095,619162,2941444
Tile,IsometricDots,40,3840,2160,200,true,919269,1180332,3241025
